654,777,4778,600,298,1
915,508,5403,716,693,1
732,614,3440,524,713,1
853,816,3978,463,52,1
1238,359,3293,689,-215,1
412,90,2056,258,408,1
548,970,10669,201,724,1
387,635,9211,625,938,1
707,604,3345,330,848,1
1821,517,2359,783,925,1
738,219,1317,314,390,1
907,557,2493,146,615,1
860,998,6462,636,826,1
92,569,524,371,68,1
686,180,3253,180,122,1
803,486,4093,655,222,1
842,115,1688,402,700,1
515,323,5204,190,433,1
561,259,2581,273,-674,1
1283,90,2700,337,307,1
1286,169,4925,574,308,1
691,78,3179,270,247,1
822,247,7321,262,-223,1
885,175,2677,167,493,1
679,23,6133,174,-25,1
1157,484,1912,180,360,1
809,49,3824,786,-109,1
1812,184,498,1808,2948,0
1406,84,165,1038,1050,0
1709,340,1311,1053,4871,0
2071,74,852,1064,2611,0
1753,90,1484,2537,1671,0
1928,128,1283,733,2224,0
1647,166,1525,1296,3349,0
2111,-15,811,647,6216,0
1555,53,1031,1085,1548,0
1514,177,1024,1467,3296,0
2691,318,1826,1512,3480,0
2521.7,220.79,1529.7,1259.5,4278.7,0
2666.8,315.1,1809.5,1511.1,3476.2,0
1526.5,175.53,1031.8,1444.9,3263.7,0
1794.7,210.14,634.22,1681.5,3270.2,0
1664.6,57.459,992.99,1080.5,1773.7,0
1526.9,82.182,289.91,1042.7,1333.8,0
1716.7,83.214,1400.9,2270.7,1648.4,0
2287.5,86.313,1119.8,910.17,5383.6,0
1848.5,122.28,1205.2,1185.7,2998.3,0
1890.4,83.089,1211,1900.7,2077,0
1690.9,289.33,1373.3,1123.8,4427.7,0
1671.1,233.54,1441.9,1201.7,3939.8,0
1777.4,95.301,1456,2285.4,1748.1,0
2509.9,246.72,1541.5,1381.1,3226.1,0
1963.7,115.06,994.18,795.74,5723.2,0
1974.6,75.758,668.25,1176.5,4725.6,0
